Link Text,URL
Apply for On-Campus Housing,https://www.buffalo.edu/campusliving/apply-for-housing.html
Health & Wellness,https://www.buffalo.edu/campusliving/for-current-students/fitness-and-recreation/health-and-wellness.html
Welcome Home Spring,https://www.buffalo.edu/campusliving/welcome-home-spring.html
Where Can I Live,https://www.buffalo.edu/campusliving/find-your-home/where-can-i-live.html
Choose Campus Living,https://www.buffalo.edu/campusliving/find-your-home.html
,https://www.buffalo.edu/campusliving/find-your-home/where-can-i-live.html
,https://www.buffalo.edu/campusliving/find-your-home/what-does-my-room-look-like.html
,https://www.buffalo.edu/campusliving/find-your-home/see-whats-included.html
,https://www.buffalo.edu/campusliving/find-your-home/living-learning-communities.html
,https://www.buffalo.edu/campusliving/find-your-home/special-living-accommodations.html
,https://www.buffalo.edu/campusliving/find-your-home/break-and-summer-housing.html
,https://www.buffalo.edu/campusliving/find-your-home/who-can-I-live-with.html
,https://www.buffalo.edu/campusliving/find-your-home/take-a-tour.html
,https://www.buffalo.edu/campusliving/find-your-home/conference-event-housing.html
,https://www.buffalo.edu/campusliving/apply-for-housing/rates.html
Applying for Housing,https://www.buffalo.edu/campusliving/apply-for-housing.html
,https://www.buffalo.edu/campusliving/apply-for-housing/selection-instructions-for-new-students.html
,https://www.buffalo.edu/campusliving/apply-for-housing/selection-instructions-for-returning-students.html
,https://www.buffalo.edu/campusliving/apply-for-housing/important-dates.html
,https://www.buffalo.edu/campusliving/apply-for-housing/rates.html
,https://www.buffalo.edu/campusliving/apply-for-housing/understanding-your-agreement.html
,https://www.buffalo.edu/campusliving/apply-for-housing/decoding-room-descriptions.html
,https://www.buffalo.edu/campusliving/apply-for-housing/late-applicants-waitlist.html
,https://www.buffalo.edu/campusliving/apply-for-housing/pre-selection-pull-in.html
,https://www.buffalo.edu/campusliving/apply-for-housing/summer-application.html
,https://www.buffalo.edu/campusliving/apply-for-housing/ocrooms.html
For Current Residents,https://www.buffalo.edu/campusliving/for-current-students.html
,https://www.buffalo.edu/campusliving/for-current-students/meet-your-community.html
,https://www.buffalo.edu/campusliving/for-current-students/living-together.html
,https://www.buffalo.edu/campusliving/for-current-students/get-involved.html
,https://www.buffalo.edu/campusliving/for-current-students/amenities.html
,https://www.buffalo.edu/campusliving/for-current-students/residential-calendar.html
,https://www.buffalo.edu/campusliving/for-current-students/academic-support.html
,https://www.buffalo.edu/campusliving/for-current-students/fitness-and-recreation.html
,https://www.buffalo.edu/campusliving/for-current-students/dining-and-transportation.html
