Stampede Schedule — Weekdays,"Schedules Effective Wednesday, August 21, 2024",Bus Schedule
Departures From North Campus,Departures From South Campus
Ellicott,Lee Loop,Governors,Hadley Village,Flint Loop,Service Center Road,Maynard,Goodyear,Main Circle,Maynard,Service Center Road,Flint Loop,Hadley Village,Governors,Davis Hall,Lee Loop
no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,5:56 AM,6:00,6:04,6:09,6:15,6:17,6:19,6:22,6:25
no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,6:26,6:30,6:34,6:38,6:45,6:47,6:49,6:52,6:55
6:20,6:25,6:26,6:27,6:35,6:36,6:42,6:46,6:50,6:54,6:59,7:05,7:07,7:09,7:12,7:15
6:30,6:35,6:36,6:37,6:45,6:46,6:52,6:56,7:00,7:04,7:09,7:15,7:17,7:19,7:22,7:25
6:40,6:45,6:46,6:47,6:55,6:56,7:02,7:06,7:10,7:14,7:19,7:25,7:27,7:29,7:32,7:35
no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,no pickup,7:16,7:20,7:24,7:29,7:35,7:37,7:39,7:42,7:45
7:00,7:05,7:06,7:07,7:15,7:16,7:22,7:26,7:30,7:34,7:38,7:45,7:47,7:49,7:52,7:55
7:10,7:15,7:16,7:17,7:25,7:26,7:32,7:36,7:40,7:44,7:49,7:55,7:57,7:59,8:02,8:05
7:20,7:25,7:26,7:27,7:35,7:36,7:42,7:46,7:50,7:54,7:59,8:05,8:07,8:09,8:12,8:15
7:30,7:35,7:36,7:37,7:45,7:46,7:52,7:56,8:00,8:04,8:09,8:15,8:17,8:19,8:22,8:25
7:40,7:45,7:46,7:47,7:55,7:56,8:02,8:06,8:10,8:14,8:19,8:25,8:27,8:29,8:32,8:35
7:50,7:55,7:56,7:57,8:05,8:06,8:12,8:16,8:20,8:24,8:29,8:35,8:37,8:39,8:42,8:45
8:00,8:05,8:06,8:07,8:15,8:16,8:22,8:26,8:30,8:34,8:38,8:45,8:47,8:49,8:52,8:55
8:10,8:15,8:16,8:17,8:25,8:26,8:32,8:36,8:40,8:44,8:49,8:55,8:57,8:59,9:02,9:05
8:20,8:25,8:26,8:27,8:35,8:36,8:42,8:46,8:50,8:54,8:59,9:05,9:07,9:09,9:12,9:15
8:30,8:35,8:36,8:37,8:45,8:46,8:52,8:56,9:00,9:04,9:09,9:15,9:17,9:19,9:22,9:25
8:40,8:45,8:46,8:47,8:55,8:56,9:02,9:06,9:10,9:14,9:19,9:25,9:27,9:29,9:32,9:35
8:50,8:55,8:56,8:57,9:05,9:06,9:12,9:16,9:20,9:24,9:29,9:35,9:37,9:39,9:42,9:45
9:00,9:05,9:06,9:07,9:15,9:16,9:22,9:26,9:30,9:34,9:38,9:45,9:47,9:49,9:52,9:55
9:10,9:15,9:16,9:17,9:25,9:26,9:32,9:36,9:40,9:44,9:49,9:55,9:57,9:59,10:02,10:05
9:20,9:25,9:26,9:27,9:35,9:36,9:42,9:46,9:50,9:54,9:59,10:05,10:07,10:09,10:12,10:15
9:30,9:35,9:36,9:37,9:45,9:46,9:52,9:56,10:00,10:04,10:09,10:15,10:17,10:19,10:22,10:25
9:40,9:45,9:46,9:47,9:55,9:56,10:02,10:06,10:10,10:14,10:19,10:25,10:27,10:29,10:32,10:35
9:50,9:55,9:56,9:57,10:05,10:06,10:12,10:16,10:20,10:24,10:29,10:35,10:37,10:39,10:42,10:45
10:00,10:05,10:06,10:07,10:15,10:16,10:22,10:26,10:30,10:34,10:38,10:45,10:47,10:49,10:52,10:55
10:10,10:15,10:16,10:17,10:25,10:26,10:32,10:36,10:40,10:44,10:49,10:55,10:57,10:59,11:02,11:05
10:20,10:25,10:26,10:27,10:35,10:36,10:42,10:46,10:50,10:54,10:59,11:05,11:07,11:09,11:12,11:15
10:30,10:35,10:36,10:37,10:45,10:46,10:52,10:56,11:00,11:04,11:09,11:15,11:17,11:19,11:22,11:25
10:40,10:45,10:46,10:47,10:55,10:56,11:02,11:06,11:10,11:14,11:19,11:25,11:27,11:29,11:32,11:35
10:50,10:55,10:56,10:57,11:05,11:06,11:12,11:16,11:20,11:24,11:29,11:35,11:37,11:39,11:42,11:45
