Name,Campus Location,Location,Weekdays,Weekends
Bulls on the Run at Greiner,North Campus,Greiner Hall,8:00am - 8:30pm,10:30am - 8:30pm
Crossroads Culinary Center,North Campus,Ellicot,8:00am - 10:30am 5:00pm - 8:30pm,10:00am - 9:00pm
Hubies,North Campus,Ellicot,5:00pm - 11:00pm,4:30pm - 8:30pm
The Elli,North Campus,Ellicot,8:30am - 9:00pm,12:00pm - 9:00pm
Guac And Roll,North Campus,Ellicot,11:00am - 8:30pm,Closed
Perks,North Campus,Ellicot,8:00am - 11:00pm,Closed
Sizzles,North Campus,Ellicot,10:00am - 8:30pm,Closed
The Bowl,North Campus,Ellicot,11:00am - 4:00pm,Closed
Wrap it Up,North Campus,Ellicot,7:00am - 3:00pm,Closed
Champa Sushi,North Campus,Student Union,10:30am - 8:00pm,10:30am - 4:00pm
Jamba,North Campus,Student Union,8:30am - 7:00pm,11:00am - 4:00pm
Moe's at Student Union,North Campus,Student Union,10:30am - 8:00pm,11:00am - 4:00pm 
Tim Hortons at Student Union,North Campus,Student Union,7:00am - 8:00pm,8:00am - 6:00pm 
Bravo Pasta at Pistachio's,North Campus,Student Union,11:00am - 6:00pm,Closed
Breadbox at Pistachio's,North Campus,Student Union,10:30am - 4:00pm ,Closed
Bulls on the Run at Natural Sciences Complex,North Campus,Natural Sciences Complex,8:00am - 4:00pm,Closed
Campus Tees,North Campus,Student Union,11:00am - 5:00pm,Closed
Capen Café,North Campus,Capen Hall,8:00am - 5:00pm,Closed
Food Truck at Capen,North Campus,Capen Hall,,
NY Deli & Diner,North Campus,Talbert Hall,12:00pm - 6:00pm,Closed
One World Café,North Campus,Between Capan and Norton Hall,8:00am - 8:00pm,Closed
Sabor Latino,North Campus,Student Union,8:00am - 8:00pm,Closed
Seasons,North Campus,Center for the Arts,8:30am - 2:30pm,Closed 
Tim Hortons at the Alfiero Center,North Campus,Alfiero Center,7:00am - 8:00pm
Union Marketplace & Eatery,North Campus,Student Union,10:30am - 8:00pm,Closed
Whispers Café at Silverman,North Campus,Silverman Library,10:00am - 6:00pm
Main Street Market Dining Center,South Campus,Goodyear,4:30pm - 8:00pm,10:00am - 9:00pm 
Food Truck at Diefendorf,South Campus,Diefendorf,,
Harriman Café,South Campus,Harriman Hall,8:00am - 4:00pm,Closed
Main Street Market,South Campus,Goodyear,8:00am - 3:00pm 9:00pm - 11:00pm,Closed 
Main Street Store,South Campus,Goodyear,8:00am - 3:00pm 9:00pm - 11:00pm,Closed 
Whispers Café at Abbott,South Campus,Abbott Hall,8:00am - 6:00pm,Closed
Governors Dining Center,North Campu,Governors,4:30pm - 8:00pm,10:00am - 9:00pm
Teddy's,North Campus,Roosevelt Hall,11:00am - 10:00pm,4:00pm - 10:00pm
The Cellar,North Campus,Governors,8:00am - 3:00pm 9:00pm - 11:00pm,Closed
Corner Café,Downtown,Jacobs School of Medicine and Biomedical Sciences,8:00am - 2:00pm,Closed
