Event Name,Date and Time,URL
Access to Justice Clinic: Voter Registration Tabling,"Tuesday, October 22, 2024, Starts: 10/16/2024 11:00 AM (ET)
Ends: 10/22/2024 4:00 PM (ET)",https://calendar.buffalo.edu/event/access-to-justice-clinic-voter-registration-tabling-1/
Open REC: Basketball,"Tuesday, October 22, 2024, 10/22/2024, 6:00 AM - 8:00 AM (ET)",https://calendar.buffalo.edu/event/open-rec-basketball-965/
Open REC: Fitness Center,"Tuesday, October 22, 2024, 10/22/2024, 6:00 AM - 10:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-fitness-center-853/
Open REC: Indoor Jogging Track,"Tuesday, October 22, 2024, 10/22/2024, 6:00 AM - 4:00 PM (ET)",https://calendar.buffalo.edu/event/open-rec-indoor-jogging-track-374/
Open REC: Racquetball,"Tuesday, October 22, 2024, 10/22/2024, 6:00 AM - 10:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-racquetball-394/
Open REC: Swim,"Tuesday, October 22, 2024, 10/22/2024, 7:00 AM - 8:30 AM (ET)",https://calendar.buffalo.edu/event/open-rec-swim-1512/
Open REC: Badminton,"Tuesday, October 22, 2024, 10/22/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-badminton-302/
Open REC: Basketball,"Tuesday, October 22, 2024, 10/22/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-basketball-1058/
Open REC: Fitness Center,"Tuesday, October 22, 2024, 10/22/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-fitness-center-959/
Open REC: Racquetball/Squash,"Tuesday, October 22, 2024, 10/22/2024, 8:00 AM - 9:45 PM (ET)",https://calendar.buffalo.edu/event/open-rec-racquetballsquash-302/
Circuit Functional Training,"Tuesday, October 22, 2024, 10/22/2024, 10:00 AM - 10:45 AM (ET)",https://calendar.buffalo.edu/event/circuit-functional-training-15/
Click COI (Conflict of Interest) Disclosure Form Training,"Tuesday, October 22, 2024, 10/22/2024, 10:00 AM - 11:00 AM (ET)",https://calendar.buffalo.edu/event/click-coi-conflict-of-interest-disclosure-form-training-1/
Cancelled - Click Overview Training,"Tuesday, October 22, 2024, 10/22/2024, 10:00 AM - 11:00 AM (ET)",https://calendar.buffalo.edu/event/click-overview-training-2/
Pro Bono Table Days,"Tuesday, October 22, 2024, 10/22/2024, 10:00 AM - 3:00 PM (ET)",https://calendar.buffalo.edu/event/pro-bono-table-days/
"Doughnuts and Democracy with WiSE, SEAS Student Affairs, and UB Votes","Tuesday, October 22, 2024, 10/22/2024, 11:00 AM - 4:00 PM (ET)",https://calendar.buffalo.edu/event/doughnuts-and-democracy-with-wise-seas-student-affairs-and-ub-votes/
Flu Clinic - North Campus,"Tuesday, October 22, 2024, 10/22/2024, 11:00 AM - 2:00 PM (ET)",https://calendar.buffalo.edu/event/flu-clinic---north-campus-5/
"BCH Seminar: ""Role of structural plasticity in pioneer factor-nucleosome interactions"" Evgenia Nik","Tuesday, October 22, 2024, 10/22/2024, 12:00 PM - 1:00 PM (ET)",https://calendar.buffalo.edu/site/jsmbs/event/bch-seminar-evgenia-nikolova-phd-johns-hopkins-university/
National Fuel Lunch and Learn Infosession,"Tuesday, October 22, 2024, 10/22/2024, 12:00 PM - 1:00 PM (ET)",https://calendar.buffalo.edu/event/national-fuel-lunch-and-learn-infosession/
North Campus Walk,"Tuesday, October 22, 2024, 10/22/2024, 12:00 PM - 12:30 PM (ET)",https://calendar.buffalo.edu/event/north-campus-walk-16/
